player,Value,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Kaoru Mitoma,€49.2M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",jp JPN,"FW,MF",27,31.0,28.0,2467.0,7.0,3.0,1.0,0.0,7.5,4.4,135.0,80.0,274.0,0.26,0.11,0.27,0.16,46.0,0.84,0.14,14.1,685.0,75.4,8929.0,86.7,70.9,44.9,35.0,74.0,32.0,8.0,80.0,1265.0,14.0,143.0,438.0,711.0,151.0,44.0,38.1,57.9,764.0,6138.0,135.0,54.0,48.0,22.0,888.0,274.0,41.0,24.0,26.0,45.0,3.0,42.0,13.0,81.0,2.96,8.0,0.29,38.0,23.0,5.0,69.0,91.0,24.0,48.0,N/a,N/a,N/a,N/a
Lisandro Martínez,€49.2M,"2024-2025 Manchester United Stats
(Premier League)",ar ARG,DF,27,20.0,20.0,1751.0,2.0,1.0,7.0,0.0,1.3,1.1,23.0,117.0,7.0,0.1,0.05,0.07,0.06,35.3,0.31,0.12,15.9,1200.0,89.4,20292.0,94.2,93.0,55.2,9.0,23.0,18.0,2.0,117.0,1524.0,156.0,713.0,697.0,125.0,18.0,36.0,85.7,14.3,1017.0,5141.0,23.0,2.0,1.0,3.0,1069.0,7.0,40.0,24.0,13.0,22.0,8.0,14.0,32.0,26.0,1.34,2.0,0.1,22.0,7.0,0.0,9.0,81.0,16.0,55.2,N/a,N/a,N/a,N/a
Marc Guéhi,€48.9M,"2024-2025 Crystal Palace Stats
(Premier League)",eng ENG,DF,24,29.0,29.0,2609.0,3.0,2.0,9.0,1.0,1.7,1.1,17.0,119.0,8.0,0.1,0.07,0.06,0.04,50.0,0.21,0.25,9.8,1271.0,83.5,24571.0,91.4,88.8,55.7,10.0,15.0,9.0,3.0,119.0,1836.0,275.0,934.0,798.0,114.0,24.0,42.0,78.6,14.3,963.0,4860.0,17.0,1.0,14.0,15.0,1129.0,8.0,53.0,29.0,45.0,50.0,21.0,29.0,23.0,32.0,1.1,5.0,0.17,20.0,24.0,1.0,11.0,127.0,63.0,58.3,N/a,N/a,N/a,N/a
Amad Diallo,€48.6M,"2024-2025 Manchester United Stats
(Premier League)",ci CIV,"FW,MF",22,22.0,17.0,1594.0,6.0,6.0,3.0,0.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,32.5,0.73,0.15,17.7,658.0,82.9,9051.0,90.4,85.3,52.4,39.0,46.0,29.0,5.0,53.0,1012.0,13.0,150.0,374.0,504.0,109.0,26.0,50.0,44.4,656.0,4482.0,92.0,52.0,35.0,32.0,714.0,159.0,33.0,26.0,15.0,10.0,0.0,10.0,11.0,80.0,4.52,16.0,0.9,19.0,23.0,9.0,38.0,93.0,9.0,37.5,N/a,N/a,N/a,N/a
Valentino Livramento,€48.4M,"2024-2025 Newcastle United Stats
(Premier League)",eng ENG,DF,22,30.0,25.0,2210.0,0.0,1.0,1.0,0.0,0.2,2.2,61.0,123.0,79.0,0.0,0.04,0.01,0.09,25.0,0.04,0.0,22.0,1080.0,84.2,16076.0,89.9,86.0,52.8,19.0,33.0,22.0,5.0,123.0,1545.0,100.0,519.0,708.0,343.0,22.0,51.0,42.9,40.5,801.0,4764.0,61.0,7.0,22.0,32.0,860.0,79.0,49.0,32.0,30.0,29.0,9.0,20.0,20.0,34.0,1.39,2.0,0.08,6.0,30.0,2.0,36.0,157.0,19.0,38.8,N/a,N/a,N/a,N/a
Nicolás Domínguez,€48.4M,"2024-2025 Nottingham Forest Stats
(Premier League)",ar ARG,"MF,FW",26,28.0,18.0,1567.0,0.0,0.0,8.0,0.0,1.4,1.3,12.0,60.0,24.0,0.0,0.0,0.08,0.07,38.9,0.4,0.0,19.0,669.0,87.1,9654.0,91.6,89.8,61.4,12.0,10.0,8.0,0.0,60.0,992.0,63.0,249.0,517.0,234.0,23.0,59.0,37.5,37.5,371.0,1491.0,12.0,2.0,17.0,9.0,546.0,24.0,71.0,38.0,19.0,34.0,11.0,23.0,26.0,29.0,1.67,0.0,0.0,27.0,14.0,1.0,2.0,95.0,17.0,47.2,N/a,N/a,N/a,N/a
Yehor Yarmoliuk,€48.4M,"2024-2025 Brentford Stats
(Premier League)",ua UKR,MF,21,25.0,9.0,964.0,0.0,0.0,4.0,0.0,0.6,0.3,12.0,42.0,40.0,0.0,0.0,0.06,0.02,22.2,0.19,0.0,15.9,433.0,85.4,7442.0,86.8,88.0,84.3,6.0,14.0,5.0,2.0,42.0,656.0,43.0,180.0,332.0,158.0,14.0,40.0,45.0,45.0,332.0,1825.0,12.0,2.0,20.0,15.0,398.0,40.0,31.0,20.0,4.0,23.0,6.0,17.0,9.0,17.0,1.59,2.0,0.19,10.0,8.0,2.0,12.0,81.0,7.0,63.6,N/a,N/a,N/a,N/a
Jarrod Bowen,€48.4M,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,"FW,MF",28,28.0,28.0,2456.0,8.0,5.0,1.0,0.0,7.2,5.4,89.0,81.0,166.0,0.29,0.18,0.26,0.2,40.8,1.06,0.1,17.8,470.0,71.2,7776.0,83.2,76.8,53.0,45.0,39.0,39.0,6.0,81.0,1030.0,24.0,120.0,374.0,559.0,141.0,37.0,37.0,54.6,605.0,4414.0,89.0,49.0,63.0,64.0,660.0,166.0,36.0,23.0,40.0,20.0,3.0,17.0,16.0,97.0,3.55,11.0,0.4,17.0,43.0,8.0,93.0,117.0,8.0,16.7,N/a,N/a,N/a,N/a
Elliot Anderson,€47.8M,"2024-2025 Nottingham Forest Stats
(Premier League)",eng ENG,MF,22,31.0,27.0,2227.0,1.0,6.0,6.0,0.0,1.6,3.1,36.0,112.0,77.0,0.04,0.24,0.07,0.12,15.2,0.2,0.03,19.8,844.0,78.1,13378.0,89.0,80.5,46.0,33.0,27.0,16.0,2.0,112.0,1435.0,79.0,337.0,676.0,450.0,55.0,90.0,49.3,38.8,716.0,3972.0,36.0,15.0,51.0,34.0,846.0,77.0,76.0,49.0,20.0,41.0,8.0,33.0,25.0,74.0,2.99,10.0,0.4,37.0,50.0,4.0,69.0,170.0,37.0,64.9,N/a,N/a,N/a,N/a
Pau Torres,€46.1M,"2024-2025 Aston Villa Stats
(Premier League)",es ESP,DF,28,19.0,19.0,1639.0,0.0,0.0,1.0,0.0,0.5,0.0,31.0,72.0,4.0,0.0,0.0,0.03,0.0,25.0,0.11,0.0,11.7,990.0,88.2,17143.0,94.4,93.2,48.7,1.0,19.0,7.0,0.0,72.0,1241.0,190.0,591.0,581.0,75.0,13.0,15.0,87.5,12.5,772.0,5098.0,31.0,0.0,3.0,3.0,882.0,4.0,20.0,14.0,21.0,14.0,10.0,4.0,9.0,12.0,0.66,2.0,0.11,6.0,7.0,0.0,1.0,53.0,15.0,41.7,N/a,N/a,N/a,N/a
Joelinton,€45.7M,"2024-2025 Newcastle United Stats
(Premier League)",br BRA,"MF,FW",28,27.0,27.0,2242.0,4.0,2.0,9.0,0.0,3.9,2.1,37.0,112.0,102.0,0.16,0.08,0.16,0.08,29.5,0.52,0.09,14.0,809.0,83.1,11448.0,88.0,87.4,56.0,21.0,24.0,16.0,1.0,112.0,1278.0,65.0,248.0,623.0,421.0,78.0,43.0,31.1,62.2,689.0,3427.0,37.0,8.0,37.0,51.0,871.0,102.0,55.0,34.0,43.0,35.0,6.0,29.0,22.0,57.0,2.29,8.0,0.32,54.0,33.0,7.0,15.0,143.0,53.0,55.2,N/a,N/a,N/a,N/a
Jacob Ramsey,€45.7M,"2024-2025 Aston Villa Stats
(Premier League)",eng ENG,"FW,MF",23,24.0,17.0,1406.0,1.0,3.0,1.0,0.0,1.3,2.1,53.0,62.0,98.0,0.06,0.19,0.09,0.13,25.0,0.26,0.06,16.4,448.0,85.3,5877.0,92.0,83.2,70.6,18.0,30.0,19.0,1.0,62.0,679.0,12.0,126.0,240.0,324.0,61.0,17.0,56.8,24.3,446.0,2935.0,53.0,18.0,38.0,20.0,516.0,98.0,28.0,15.0,10.0,19.0,3.0,16.0,7.0,46.0,2.94,6.0,0.38,11.0,22.0,5.0,10.0,68.0,6.0,37.5,N/a,N/a,N/a,N/a
Anthony Elanga,€45.6M,"2024-2025 Nottingham Forest Stats
(Premier League)",se SWE,FW,22,32.0,25.0,2007.0,6.0,8.0,1.0,0.0,3.9,4.3,79.0,47.0,162.0,0.27,0.36,0.18,0.19,45.7,0.72,0.17,16.8,418.0,65.2,6008.0,84.1,63.4,33.7,39.0,41.0,22.0,6.0,47.0,886.0,29.0,124.0,254.0,524.0,86.0,16.0,31.0,45.1,462.0,3604.0,79.0,36.0,64.0,34.0,583.0,162.0,17.0,12.0,32.0,9.0,1.0,8.0,5.0,81.0,3.64,13.0,0.58,6.0,32.0,12.0,140.0,77.0,21.0,39.6,N/a,N/a,N/a,N/a
Antoine Semenyo,€45.4M,"2024-2025 Bournemouth Stats
(Premier League)",gh GHA,FW,25,30.0,30.0,2645.0,7.0,4.0,9.0,0.0,8.9,5.2,124.0,93.0,242.0,0.24,0.14,0.3,0.18,31.3,1.19,0.06,17.2,659.0,72.8,9379.0,84.8,74.9,38.4,40.0,61.0,39.0,7.0,93.0,1361.0,36.0,162.0,472.0,759.0,169.0,40.0,51.7,42.2,817.0,6173.0,124.0,62.0,72.0,63.0,948.0,242.0,50.0,32.0,66.0,54.0,7.0,47.0,7.0,112.0,3.81,11.0,0.37,62.0,32.0,14.0,50.0,134.0,56.0,45.9,N/a,N/a,N/a,N/a
Noussair Mazraoui,€45.3M,"2024-2025 Manchester United Stats
(Premier League)",ma MAR,DF,27,32.0,29.0,2475.0,0.0,1.0,2.0,0.0,0.6,1.3,34.0,98.0,44.0,0.0,0.04,0.02,0.05,25.0,0.11,0.0,20.8,1319.0,85.2,19726.0,91.2,88.9,51.4,16.0,26.0,17.0,5.0,98.0,1856.0,148.0,728.0,860.0,292.0,26.0,81.0,55.8,37.2,1027.0,4749.0,34.0,3.0,23.0,16.0,1119.0,44.0,95.0,55.0,25.0,31.0,8.0,23.0,33.0,45.0,1.64,1.0,0.04,35.0,20.0,3.0,20.0,131.0,42.0,62.7,N/a,N/a,N/a,N/a
Boubacar Kamara,€45.2M,"2024-2025 Aston Villa Stats
(Premier League)",fr FRA,MF,25,20.0,14.0,1202.0,0.0,0.0,2.0,0.0,0.4,0.5,16.0,65.0,5.0,0.0,0.0,0.03,0.04,16.7,0.07,0.0,19.7,614.0,89.1,9590.0,93.7,91.2,52.4,8.0,10.0,7.0,0.0,65.0,833.0,82.0,259.0,480.0,99.0,8.0,48.0,36.4,31.8,432.0,2138.0,16.0,1.0,7.0,9.0,556.0,5.0,44.0,18.0,16.0,15.0,5.0,10.0,14.0,19.0,1.42,2.0,0.15,19.0,24.0,0.0,1.0,61.0,14.0,46.7,N/a,N/a,N/a,N/a
Justin Kluivert,€44.3M,"2024-2025 Bournemouth Stats
(Premier League)",nl NED,"MF,FW",25,28.0,24.0,1936.0,12.0,6.0,6.0,0.0,9.9,4.7,64.0,88.0,132.0,0.56,0.28,0.46,0.22,44.0,1.02,0.12,20.1,451.0,72.5,7052.0,82.3,75.2,52.8,43.0,44.0,26.0,4.0,88.0,879.0,21.0,87.0,295.0,517.0,111.0,19.0,40.8,47.4,511.0,3273.0,64.0,33.0,44.0,24.0,562.0,132.0,20.0,9.0,22.0,20.0,0.0,20.0,13.0,88.0,4.09,11.0,0.51,38.0,25.0,5.0,71.0,66.0,7.0,24.1,N/a,N/a,N/a,N/a
Ezri Konsa,€44.3M,"2024-2025 Aston Villa Stats
(Premier League)",eng ENG,DF,27,28.0,27.0,2396.0,1.0,0.0,0.0,0.0,0.9,0.4,16.0,70.0,11.0,0.04,0.0,0.03,0.01,37.5,0.11,0.13,8.6,1308.0,92.6,21828.0,96.3,95.6,63.6,5.0,11.0,1.0,0.0,70.0,1614.0,196.0,756.0,768.0,98.0,19.0,22.0,41.2,41.2,949.0,4786.0,16.0,2.0,15.0,8.0,1129.0,11.0,31.0,17.0,21.0,16.0,9.0,7.0,21.0,22.0,0.83,3.0,0.11,6.0,41.0,0.0,5.0,83.0,26.0,55.3,N/a,N/a,N/a,N/a
Rayan Aït-Nouri,€44M,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",dz ALG,DF,23,31.0,31.0,2618.0,4.0,6.0,6.0,1.0,2.3,4.4,69.0,96.0,148.0,0.14,0.21,0.08,0.15,27.6,0.28,0.14,15.2,1197.0,84.4,16586.0,93.5,87.2,41.4,35.0,51.0,25.0,7.0,96.0,1767.0,82.0,488.0,755.0,545.0,74.0,63.0,49.0,37.0,916.0,5002.0,69.0,22.0,38.0,36.0,1064.0,148.0,79.0,49.0,26.0,39.0,6.0,33.0,21.0,70.0,2.41,11.0,0.38,26.0,33.0,4.0,72.0,129.0,18.0,40.9,N/a,N/a,N/a,N/a
Manuel Akanji,€43.7M,"2024-2025 Manchester City Stats
(Premier League)",ch SUI,DF,29,20.0,20.0,1707.0,0.0,0.0,3.0,0.0,0.7,0.4,38.0,135.0,6.0,0.0,0.0,0.04,0.02,10.0,0.05,0.0,16.3,1389.0,93.9,22799.0,96.0,95.5,73.9,9.0,52.0,11.0,2.0,135.0,1591.0,108.0,472.0,773.0,348.0,11.0,12.0,100.0,0.0,1041.0,5502.0,38.0,0.0,4.0,5.0,1258.0,6.0,15.0,10.0,29.0,11.0,8.0,3.0,7.0,34.0,1.79,2.0,0.11,16.0,9.0,0.0,11.0,86.0,23.0,44.2,N/a,N/a,N/a,N/a
Joshua Zirkzee,€43.3M,"2024-2025 Manchester United Stats
(Premier League)",nl NED,"FW,MF",23,32.0,14.0,1402.0,3.0,1.0,2.0,0.0,4.8,1.5,14.0,44.0,69.0,0.19,0.06,0.31,0.1,39.3,0.71,0.11,13.1,292.0,71.2,3600.0,78.1,74.4,50.0,12.0,21.0,6.0,0.0,44.0,587.0,16.0,71.0,303.0,219.0,56.0,10.0,31.4,68.6,327.0,1483.0,14.0,4.0,41.0,30.0,418.0,69.0,14.0,8.0,54.0,15.0,4.0,11.0,6.0,31.0,1.99,3.0,0.19,9.0,13.0,3.0,4.0,57.0,21.0,28.0,N/a,N/a,N/a,N/a
Youri Tielemans,€43.3M,"2024-2025 Aston Villa Stats
(Premier League)",be BEL,MF,27,32.0,32.0,2735.0,2.0,6.0,4.0,0.0,3.0,6.5,33.0,211.0,39.0,0.07,0.2,0.1,0.21,31.4,0.36,0.06,20.8,1545.0,82.4,26503.0,89.7,87.7,54.1,55.0,24.0,32.0,4.0,211.0,2166.0,90.0,439.0,1244.0,506.0,36.0,68.0,52.7,30.9,1171.0,5079.0,33.0,8.0,29.0,25.0,1519.0,39.0,76.0,50.0,17.0,35.0,15.0,20.0,21.0,104.0,3.42,11.0,0.36,40.0,49.0,0.0,111.0,133.0,19.0,52.8,N/a,N/a,N/a,N/a
Antonee Robinson,€42.7M,"2024-2025 Fulham Stats
(Premier League)",us USA,DF,27,31.0,30.0,2719.0,0.0,10.0,7.0,0.0,0.7,4.0,106.0,112.0,238.0,0.0,0.33,0.02,0.13,12.5,0.07,0.0,22.1,1395.0,76.7,23848.0,86.8,79.4,55.9,40.0,55.0,50.0,26.0,112.0,2196.0,112.0,688.0,849.0,691.0,58.0,82.0,45.1,39.4,1170.0,6454.0,106.0,26.0,38.0,16.0,1317.0,238.0,82.0,54.0,23.0,34.0,5.0,29.0,53.0,73.0,2.42,11.0,0.36,28.0,17.0,5.0,146.0,131.0,42.0,64.6,N/a,N/a,N/a,N/a
Yankuba Minteh,€42.6M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",gm GAM,"FW,MF",20,26.0,15.0,1406.0,5.0,4.0,6.0,0.0,3.5,4.7,61.0,33.0,149.0,0.32,0.26,0.23,0.3,48.1,0.83,0.19,13.9,257.0,61.3,4221.0,76.2,65.6,43.9,25.0,17.0,26.0,6.0,33.0,638.0,26.0,114.0,182.0,360.0,108.0,44.0,46.8,44.3,357.0,2568.0,61.0,48.0,41.0,19.0,367.0,149.0,40.0,30.0,24.0,16.0,0.0,16.0,10.0,51.0,3.27,9.0,0.58,16.0,8.0,4.0,68.0,71.0,15.0,38.5,N/a,N/a,N/a,N/a
Harvey Barnes,€42.6M,"2024-2025 Newcastle United Stats
(Premier League)",eng ENG,FW,27,26.0,10.0,1172.0,8.0,3.0,0.0,0.0,5.8,3.2,63.0,58.0,127.0,0.61,0.23,0.44,0.24,33.3,1.15,0.18,14.2,318.0,78.9,4461.0,86.6,74.6,60.0,18.0,35.0,30.0,7.0,58.0,549.0,13.0,75.0,178.0,301.0,85.0,7.0,38.3,48.9,388.0,2917.0,63.0,35.0,21.0,13.0,434.0,127.0,15.0,9.0,13.0,6.0,1.0,5.0,6.0,47.0,3.6,8.0,0.61,9.0,16.0,4.0,30.0,40.0,5.0,27.8,N/a,N/a,N/a,N/a
Matheus Nunes,€42.3M,"2024-2025 Manchester City Stats
(Premier League)",pt POR,"DF,MF",26,21.0,14.0,1224.0,0.0,4.0,3.0,0.0,0.5,3.4,49.0,55.0,139.0,0.0,0.29,0.04,0.25,20.0,0.07,0.0,18.4,770.0,86.1,11967.0,91.5,87.7,67.2,20.0,22.0,23.0,6.0,55.0,1020.0,32.0,189.0,372.0,463.0,50.0,26.0,43.3,43.3,644.0,3481.0,49.0,21.0,24.0,10.0,738.0,139.0,26.0,17.0,11.0,12.0,3.0,9.0,12.0,34.0,2.5,5.0,0.37,27.0,13.0,5.0,34.0,51.0,12.0,52.2,N/a,N/a,N/a,N/a
Guglielmo Vicario,€41.6M,"2024-2025 Tottenham Hotspur Stats
(Premier League)",it ITA,GK,28,20.0,20.0,1800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,660.0,89.8,12698.0,99.1,97.4,53.1,0.0,0.0,0.0,0.0,1.0,782.0,522.0,767.0,15.0,0.0,0.0,0.0,100.0,0.0,566.0,2646.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,27.0,9.0,100.0,1.25,69.9,20.0,N/a
Mateus Fernandes,€41.4M,"2024-2025 Southampton Stats
(Premier League)",pt POR,MF,20,30.0,28.0,2409.0,2.0,3.0,8.0,0.0,3.7,2.4,67.0,122.0,91.0,0.07,0.11,0.14,0.09,37.8,0.52,0.05,18.6,911.0,79.5,15434.0,87.1,85.5,55.3,27.0,56.0,19.0,4.0,122.0,1472.0,52.0,318.0,723.0,464.0,43.0,58.0,47.3,45.1,758.0,4925.0,67.0,8.0,44.0,30.0,909.0,91.0,76.0,42.0,9.0,34.0,3.0,31.0,19.0,62.0,2.32,6.0,0.22,39.0,44.0,3.0,93.0,155.0,13.0,59.1,N/a,N/a,N/a,N/a
Georginio Rutter,€41.2M,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",fr FRA,"MF,FW",22,28.0,19.0,1656.0,5.0,3.0,2.0,0.0,4.6,2.5,42.0,67.0,79.0,0.27,0.16,0.25,0.14,24.0,0.65,0.1,15.5,237.0,66.8,3344.0,77.0,66.7,62.5,19.0,36.0,16.0,1.0,67.0,641.0,20.0,83.0,246.0,326.0,79.0,36.0,38.0,47.9,361.0,2467.0,42.0,16.0,45.0,37.0,411.0,79.0,39.0,15.0,46.0,20.0,3.0,17.0,10.0,64.0,3.47,8.0,0.43,34.0,45.0,7.0,9.0,66.0,25.0,35.2,N/a,N/a,N/a,N/a
Nikola Milenković,€40.6M,"2024-2025 Nottingham Forest Stats
(Premier League)",rs SRB,DF,27,31.0,31.0,2790.0,4.0,2.0,4.0,0.0,3.6,0.8,3.0,45.0,5.0,0.13,0.06,0.12,0.03,26.9,0.23,0.15,12.1,684.0,80.9,13625.0,86.7,87.0,60.2,7.0,3.0,2.0,0.0,45.0,1149.0,216.0,627.0,447.0,79.0,58.0,27.0,100.0,0.0,433.0,1888.0,3.0,2.0,1.0,2.0,582.0,5.0,42.0,26.0,36.0,36.0,21.0,15.0,23.0,18.0,0.58,3.0,0.1,16.0,3.0,1.0,0.0,69.0,89.0,71.2,N/a,N/a,N/a,N/a
Bilal El Khannouss,€40.6M,"2024-2025 Leicester City Stats
(Premier League)",ma MAR,MF,20,27.0,22.0,1748.0,2.0,2.0,4.0,0.0,0.8,3.1,59.0,110.0,71.0,0.1,0.1,0.04,0.16,28.6,0.31,0.1,22.5,657.0,74.9,11744.0,85.5,80.5,57.1,29.0,37.0,25.0,5.0,110.0,1038.0,13.0,143.0,538.0,369.0,27.0,21.0,60.5,37.2,595.0,3628.0,59.0,9.0,32.0,30.0,695.0,71.0,44.0,24.0,16.0,17.0,3.0,14.0,5.0,55.0,2.84,4.0,0.21,25.0,8.0,0.0,71.0,75.0,18.0,52.9,N/a,N/a,N/a,N/a
Callum Hudson-Odoi,€40.5M,"2024-2025 Nottingham Forest Stats
(Premier League)",eng ENG,FW,24,27.0,24.0,2074.0,5.0,2.0,2.0,0.0,2.5,2.7,123.0,66.0,186.0,0.22,0.09,0.11,0.12,45.9,0.74,0.14,18.3,654.0,82.2,9550.0,92.4,81.6,50.0,44.0,59.0,30.0,10.0,66.0,976.0,14.0,104.0,310.0,585.0,72.0,14.0,55.9,30.5,609.0,5107.0,123.0,45.0,44.0,23.0,745.0,186.0,18.0,13.0,10.0,10.0,0.0,10.0,13.0,94.0,4.08,11.0,0.48,11.0,19.0,8.0,74.0,88.0,3.0,23.1,N/a,N/a,N/a,N/a
Mikel Merino,€39.7M,"2024-2025 Arsenal Stats
(Premier League)",es ESP,"MF,FW",28,24.0,14.0,1345.0,6.0,1.0,2.0,0.0,3.9,1.4,9.0,60.0,83.0,0.4,0.07,0.26,0.09,40.0,0.8,0.2,10.9,399.0,78.1,5490.0,87.0,78.1,53.6,14.0,12.0,23.0,3.0,60.0,680.0,34.0,123.0,292.0,274.0,69.0,26.0,41.2,35.3,335.0,1287.0,9.0,4.0,21.0,20.0,443.0,83.0,32.0,18.0,49.0,17.0,5.0,12.0,13.0,38.0,2.54,3.0,0.2,33.0,19.0,7.0,11.0,74.0,54.0,52.4,N/a,N/a,N/a,N/a
Marc Cucurella,€39.6M,"2024-2025 Chelsea Stats
(Premier League)",es ESP,DF,26,30.0,27.0,2448.0,4.0,1.0,9.0,1.0,2.2,1.8,29.0,92.0,102.0,0.15,0.04,0.08,0.07,38.9,0.26,0.22,16.5,1396.0,87.7,21799.0,93.9,89.7,55.7,17.0,15.0,10.0,3.0,92.0,1841.0,91.0,556.0,838.0,454.0,65.0,48.0,30.8,53.8,784.0,3257.0,29.0,2.0,25.0,5.0,1153.0,102.0,53.0,36.0,48.0,39.0,12.0,27.0,21.0,44.0,1.62,5.0,0.18,31.0,31.0,3.0,28.0,106.0,25.0,34.2,N/a,N/a,N/a,N/a
Max Kilman,€39.3M,"2024-2025 West Ham United Stats
(Premier League)",eng ENG,DF,27,32.0,32.0,2808.0,0.0,1.0,3.0,0.0,1.4,1.1,27.0,101.0,5.0,0.0,0.03,0.05,0.04,18.2,0.06,0.0,8.4,1390.0,86.6,27034.0,92.1,92.4,58.0,15.0,10.0,3.0,0.0,101.0,1951.0,387.0,1080.0,792.0,94.0,28.0,21.0,72.2,5.6,1029.0,4642.0,27.0,2.0,13.0,2.0,1289.0,5.0,28.0,15.0,47.0,52.0,35.0,17.0,36.0,25.0,0.8,3.0,0.1,12.0,12.0,1.0,2.0,129.0,93.0,66.4,N/a,N/a,N/a,N/a
Leon Bailey,€38.6M,"2024-2025 Aston Villa Stats
(Premier League)",jm JAM,"FW,MF",27,23.0,14.0,1138.0,1.0,2.0,3.0,0.0,1.7,1.5,57.0,35.0,121.0,0.08,0.16,0.14,0.12,21.4,0.47,0.04,17.3,273.0,70.7,4275.0,81.4,81.1,47.4,16.0,22.0,20.0,2.0,35.0,539.0,18.0,76.0,155.0,318.0,69.0,10.0,38.6,42.1,344.0,2540.0,57.0,33.0,35.0,25.0,386.0,121.0,6.0,4.0,9.0,6.0,0.0,6.0,3.0,38.0,3.01,4.0,0.32,12.0,18.0,3.0,34.0,59.0,6.0,40.0,N/a,N/a,N/a,N/a
Diogo Dalot,€37.5M,"2024-2025 Manchester United Stats
(Premier League)",pt POR,DF,26,31.0,31.0,2756.0,0.0,3.0,5.0,0.0,2.0,2.0,62.0,99.0,161.0,0.0,0.1,0.07,0.07,21.7,0.16,0.0,15.6,1321.0,80.6,21289.0,89.9,81.9,56.0,25.0,37.0,23.0,8.0,99.0,1938.0,113.0,653.0,761.0,541.0,66.0,51.0,52.0,40.0,1098.0,4868.0,62.0,16.0,36.0,20.0,1170.0,161.0,65.0,38.0,21.0,21.0,9.0,12.0,37.0,73.0,2.38,5.0,0.16,40.0,9.0,4.0,63.0,164.0,37.0,63.8,N/a,N/a,N/a,N/a
Abdoulaye Doucouré,€37.2M,"2024-2025 Everton Stats
(Premier League)",ml MLI,MF,32,28.0,27.0,2245.0,3.0,1.0,5.0,1.0,3.6,2.3,36.0,70.0,87.0,0.12,0.04,0.14,0.09,30.8,0.32,0.12,13.9,637.0,79.7,9630.0,85.1,82.7,73.1,26.0,22.0,13.0,0.0,70.0,1023.0,30.0,210.0,465.0,362.0,50.0,33.0,50.0,50.0,540.0,2680.0,36.0,6.0,32.0,32.0,658.0,87.0,42.0,25.0,38.0,29.0,6.0,23.0,7.0,50.0,2.0,2.0,0.08,44.0,5.0,8.0,22.0,131.0,28.0,42.4,N/a,N/a,N/a,N/a
Daniel Muñoz,€36.9M,"2024-2025 Crystal Palace Stats
(Premier League)",co COL,DF,28,30.0,30.0,2598.0,4.0,4.0,7.0,0.0,4.2,3.9,45.0,72.0,170.0,0.14,0.14,0.14,0.13,40.0,0.42,0.13,12.9,917.0,75.3,14053.0,85.4,77.0,44.2,35.0,29.0,23.0,11.0,72.0,1634.0,96.0,460.0,680.0,510.0,81.0,77.0,37.5,58.3,636.0,3230.0,45.0,14.0,46.0,16.0,783.0,170.0,100.0,65.0,67.0,30.0,2.0,28.0,35.0,67.0,2.32,8.0,0.28,44.0,18.0,12.0,55.0,137.0,50.0,42.7,N/a,N/a,N/a,N/a
Edson Álvarez,€36.7M,"2024-2025 West Ham United Stats
(Premier League)",mx MEX,MF,27,25.0,19.0,1633.0,0.0,1.0,8.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,9.1,0.06,0.0,26.7,763.0,85.7,12894.0,88.8,89.7,73.5,11.0,20.0,11.0,3.0,75.0,1101.0,61.0,323.0,612.0,174.0,12.0,33.0,45.2,38.7,603.0,3371.0,21.0,2.0,25.0,13.0,734.0,18.0,44.0,23.0,20.0,21.0,8.0,13.0,16.0,25.0,1.38,2.0,0.11,37.0,18.0,4.0,6.0,78.0,28.0,58.3,N/a,N/a,N/a,N/a
