player,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Adam Wharton,"2024-2025 Crystal Palace Stats
(Premier League)",eng ENG,MF,20,16.0,13.0,1088.0,0.0,1.0,2.0,0.0,0.3,2.8,11.0,100.0,10.0,0.0,0.08,0.02,0.23,50.0,0.41,0.0,25.0,469.0,77.1,8908.0,83.3,81.8,67.4,23.0,16.0,17.0,5.0,100.0,729.0,24.0,172.0,386.0,174.0,8.0,39.0,22.2,77.8,358.0,1627.0,11.0,2.0,13.0,12.0,453.0,10.0,33.0,14.0,15.0,10.0,2.0,8.0,16.0,52.0,4.31,5.0,0.41,10.0,18.0,0.0,29.0,81.0,7.0,31.8,N/a,N/a,N/a,N/a
Adama Traoré,"2024-2025 Fulham Stats
(Premier League)",es ESP,"FW,MF",29,29.0,16.0,1482.0,2.0,5.0,2.0,0.0,3.8,4.1,80.0,56.0,135.0,0.12,0.3,0.23,0.25,31.4,0.67,0.06,14.3,355.0,71.9,5579.0,80.4,74.1,56.8,32.0,39.0,26.0,14.0,56.0,676.0,2.0,71.0,242.0,383.0,82.0,13.0,48.2,38.6,461.0,3815.0,80.0,32.0,30.0,18.0,520.0,135.0,15.0,10.0,22.0,6.0,0.0,6.0,1.0,66.0,4.01,8.0,0.49,19.0,29.0,1.0,82.0,72.0,23.0,51.1,N/a,N/a,N/a,N/a
Albert Grønbaek,"2024-2025 Southampton Stats
(Premier League)",dk DEN,"FW,MF",23,4.0,2.0,143.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,3.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,22.4,13.0,72.2,135.0,81.8,50.0,N/a,1.0,0.0,0.0,0.0,1.0,38.0,2.0,9.0,14.0,15.0,2.0,10.0,0.0,100.0,18.0,79.0,1.0,1.0,5.0,4.0,21.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.26,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,100.0,N/a,N/a,N/a,N/a
Alejandro Garnacho,"2024-2025 Manchester United Stats
(Premier League)",ar ARG,"MF,FW",20,31.0,20.0,1876.0,5.0,1.0,2.0,0.0,6.2,2.8,122.0,47.0,249.0,0.24,0.05,0.3,0.13,37.5,1.3,0.07,16.9,539.0,79.4,7606.0,89.3,82.1,59.1,26.0,62.0,21.0,3.0,47.0,967.0,13.0,113.0,313.0,557.0,141.0,29.0,28.9,61.8,702.0,5356.0,122.0,58.0,51.0,41.0,736.0,249.0,27.0,17.0,22.0,16.0,0.0,16.0,10.0,64.0,3.07,4.0,0.19,9.0,36.0,9.0,42.0,100.0,3.0,12.0,N/a,N/a,N/a,N/a
Alex Iwobi,"2024-2025 Fulham Stats
(Premier League)",ng NGA,"FW,MF",28,31.0,29.0,2463.0,8.0,5.0,1.0,0.0,4.1,6.2,119.0,171.0,202.0,0.29,0.18,0.15,0.23,43.9,0.91,0.14,18.3,935.0,74.6,16156.0,86.1,77.7,55.8,51.0,90.0,68.0,13.0,171.0,1533.0,31.0,211.0,615.0,731.0,98.0,27.0,50.0,45.0,1088.0,6599.0,119.0,34.0,52.0,37.0,1192.0,202.0,36.0,20.0,27.0,22.0,1.0,21.0,10.0,109.0,3.98,15.0,0.55,15.0,16.0,4.0,98.0,119.0,4.0,12.9,N/a,N/a,N/a,N/a
Alex McCarthy,"2024-2025 Southampton Stats
(Premier League)",eng ENG,GK,35,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,117.0,75.0,2823.0,95.3,91.8,49.2,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,0.0,N/a,N/a,100.0,452.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,100.0,2.6,70.3,0.0,0.0
Alex Palmer,"2024-2025 Ipswich Town Stats
(Premier League)",eng ENG,GK,28,8.0,8.0,720.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,166.0,68.9,4921.0,93.9,100.0,44.7,1.0,0.0,0.0,0.0,1.0,276.0,232.0,272.0,4.0,0.0,0.0,0.0,N/a,N/a,123.0,735.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,13.0,3.0,100.0,2.25,63.3,0.0,N/a
Alex Scott,"2024-2025 Bournemouth Stats
(Premier League)",eng ENG,MF,21,14.0,4.0,503.0,0.0,0.0,1.0,0.0,0.5,0.3,9.0,46.0,22.0,0.0,0.0,0.09,0.05,44.4,0.72,0.0,18.6,207.0,85.5,3362.0,89.7,91.4,66.7,7.0,5.0,4.0,0.0,46.0,347.0,14.0,63.0,190.0,99.0,13.0,29.0,22.7,50.0,195.0,992.0,9.0,1.0,18.0,7.0,215.0,22.0,23.0,11.0,6.0,11.0,1.0,10.0,9.0,22.0,3.93,2.0,0.36,7.0,19.0,0.0,1.0,37.0,4.0,40.0,N/a,N/a,N/a,N/a
Alexander Isak,"2024-2025 Newcastle United Stats
(Premier League)",se SWE,FW,25,28.0,28.0,2265.0,20.0,6.0,1.0,0.0,16.6,4.0,74.0,73.0,180.0,0.79,0.24,0.66,0.16,44.0,1.31,0.24,14.4,425.0,73.4,6068.0,82.4,77.2,62.9,37.0,39.0,23.0,1.0,73.0,864.0,19.0,52.0,322.0,504.0,156.0,12.0,49.4,49.4,524.0,3280.0,74.0,40.0,57.0,48.0,610.0,180.0,12.0,5.0,44.0,17.0,2.0,15.0,3.0,80.0,3.18,14.0,0.56,24.0,12.0,19.0,14.0,50.0,23.0,34.3,N/a,N/a,N/a,N/a
Alexis Mac Allister,"2024-2025 Liverpool Stats
(Premier League)",ar ARG,MF,26,31.0,28.0,2381.0,4.0,4.0,6.0,0.0,2.7,4.3,31.0,158.0,72.0,0.15,0.15,0.1,0.16,34.3,0.45,0.11,18.2,1165.0,83.5,18587.0,89.9,88.3,57.2,38.0,38.0,32.0,1.0,158.0,1702.0,50.0,257.0,892.0,569.0,55.0,91.0,38.5,51.3,834.0,3413.0,31.0,3.0,26.0,20.0,1132.0,72.0,85.0,51.0,31.0,57.0,5.0,52.0,20.0,108.0,4.08,14.0,0.53,58.0,38.0,2.0,70.0,132.0,18.0,36.7,N/a,N/a,N/a,N/a
Ali Al Hamadi,"2024-2025 Ipswich Town Stats
(Premier League)",iq IRQ,FW,23,11.0,0.0,134.0,0.0,0.0,3.0,0.0,0.4,0.1,4.0,3.0,14.0,0.0,0.0,0.24,0.05,0.0,0.0,0.0,15.7,25.0,83.3,278.0,87.0,71.4,N/a,2.0,3.0,0.0,0.0,3.0,53.0,2.0,6.0,20.0,30.0,9.0,2.0,57.1,42.9,29.0,187.0,4.0,4.0,7.0,4.0,36.0,14.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,5.37,0.0,0.0,8.0,3.0,1.0,0.0,4.0,5.0,35.7,N/a,N/a,N/a,N/a
Alisson,"2024-2025 Liverpool Stats
(Premier League)",br BRA,GK,32,22.0,22.0,1968.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,N/a,0.0,N/a,N/a,564.0,82.5,12593.0,98.8,98.7,47.1,1.0,0.0,0.0,0.0,0.0,726.0,534.0,712.0,14.0,0.0,0.0,1.0,100.0,0.0,465.0,1862.0,0.0,0.0,1.0,0.0,430.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.27,1.0,0.05,0.0,1.0,0.0,0.0,38.0,6.0,100.0,0.87,72.1,36.4,N/a
Alphonse Areola,"2024-2025 West Ham United Stats
(Premier League)",fr FRA,GK,32,21.0,20.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,560.0,69.7,15101.0,99.1,94.8,43.4,0.0,0.0,0.0,0.0,0.0,852.0,688.0,846.0,7.0,0.0,0.0,3.0,N/a,N/a,479.0,1981.0,0.0,0.0,0.0,0.0,441.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,100.0,1.69,62.2,20.0,N/a
Amad Diallo,"2024-2025 Manchester United Stats
(Premier League)",ci CIV,"FW,MF",22,22.0,17.0,1594.0,6.0,6.0,3.0,0.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,32.5,0.73,0.15,17.7,658.0,82.9,9051.0,90.4,85.3,52.4,39.0,46.0,29.0,5.0,53.0,1012.0,13.0,150.0,374.0,504.0,109.0,26.0,50.0,44.4,656.0,4482.0,92.0,52.0,35.0,32.0,714.0,159.0,33.0,26.0,15.0,10.0,0.0,10.0,11.0,80.0,4.52,16.0,0.9,19.0,23.0,9.0,38.0,93.0,9.0,37.5,N/a,N/a,N/a,N/a
Amadou Onana,"2024-2025 Aston Villa Stats
(Premier League)",be BEL,MF,23,20.0,16.0,1254.0,2.0,0.0,4.0,0.0,1.9,0.3,20.0,57.0,13.0,0.14,0.0,0.13,0.02,33.3,0.36,0.13,14.8,560.0,88.6,8829.0,94.7,90.2,71.4,7.0,19.0,8.0,1.0,57.0,791.0,54.0,206.0,473.0,125.0,17.0,24.0,62.5,18.8,445.0,2285.0,20.0,1.0,10.0,8.0,534.0,13.0,45.0,24.0,17.0,13.0,6.0,7.0,23.0,23.0,1.65,4.0,0.29,28.0,23.0,0.0,1.0,61.0,22.0,56.4,N/a,N/a,N/a,N/a
Andreas Pereira,"2024-2025 Fulham Stats
(Premier League)",br BRA,MF,29,28.0,20.0,1676.0,2.0,4.0,7.0,0.0,3.4,3.9,21.0,96.0,71.0,0.11,0.21,0.18,0.21,25.0,0.43,0.06,21.8,590.0,69.3,10713.0,83.3,79.0,41.3,49.0,31.0,19.0,4.0,96.0,1002.0,16.0,145.0,416.0,456.0,34.0,37.0,44.4,25.9,511.0,2335.0,21.0,6.0,20.0,19.0,593.0,71.0,22.0,12.0,17.0,15.0,2.0,13.0,8.0,91.0,4.89,8.0,0.43,23.0,21.0,1.0,141.0,90.0,12.0,41.4,N/a,N/a,N/a,N/a
Andrew Robertson,"2024-2025 Liverpool Stats
(Premier League)",sct SCO,DF,31,30.0,26.0,2218.0,0.0,0.0,3.0,1.0,0.9,4.1,57.0,163.0,90.0,0.0,0.0,0.04,0.17,16.7,0.08,0.0,15.0,1405.0,83.2,23582.0,94.4,87.0,46.7,38.0,48.0,27.0,15.0,163.0,1877.0,85.0,475.0,856.0,559.0,47.0,47.0,38.9,55.6,998.0,4423.0,57.0,6.0,24.0,10.0,1255.0,90.0,38.0,22.0,12.0,9.0,4.0,5.0,20.0,73.0,2.96,3.0,0.12,10.0,7.0,2.0,131.0,89.0,6.0,33.3,N/a,N/a,N/a,N/a
André,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",br BRA,MF,23,27.0,25.0,1997.0,0.0,0.0,6.0,0.0,0.3,0.6,8.0,86.0,11.0,0.0,0.0,0.01,0.03,14.3,0.05,0.0,22.5,968.0,92.6,15396.0,95.1,95.1,79.7,12.0,14.0,4.0,0.0,86.0,1268.0,78.0,347.0,821.0,114.0,3.0,51.0,50.0,33.3,701.0,2942.0,8.0,0.0,25.0,14.0,851.0,11.0,64.0,41.0,6.0,40.0,8.0,32.0,28.0,41.0,1.85,3.0,0.14,32.0,30.0,0.0,0.0,156.0,2.0,25.0,N/a,N/a,N/a,N/a
André Onana,"2024-2025 Manchester United Stats
(Premier League)",cm CMR,GK,29,31.0,31.0,2790.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.01,N/a,0.0,N/a,N/a,868.0,72.8,20571.0,99.0,99.2,36.0,1.0,0.0,0.0,0.0,1.0,1256.0,951.0,1235.0,22.0,0.0,0.0,3.0,N/a,N/a,889.0,4545.0,0.0,0.0,1.0,0.0,768.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.13,0.0,0.0,0.0,2.0,0.0,0.0,29.0,6.0,100.0,1.32,69.8,29.0,25.0
Andrés García,"2024-2025 Aston Villa Stats
(Premier League)",es ESP,"DF,MF",22,7.0,5.0,318.0,0.0,0.0,0.0,0.0,0.0,0.2,26.0,15.0,28.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,26.6,174.0,86.6,2725.0,92.7,90.2,53.8,3.0,13.0,8.0,5.0,15.0,256.0,8.0,38.0,108.0,112.0,2.0,8.0,27.8,66.7,159.0,1262.0,26.0,2.0,10.0,6.0,168.0,28.0,9.0,5.0,6.0,2.0,0.0,2.0,2.0,3.0,0.85,0.0,0.0,1.0,0.0,0.0,18.0,15.0,0.0,0.0,N/a,N/a,N/a,N/a
Andy Irving,"2024-2025 West Ham United Stats
(Premier League)",sct SCO,MF,24,10.0,1.0,166.0,0.0,0.0,2.0,0.0,0.1,0.2,0.0,9.0,4.0,0.0,0.0,0.06,0.13,50.0,1.08,0.0,26.2,109.0,87.9,1705.0,95.3,83.7,100.0,1.0,1.0,1.0,1.0,9.0,150.0,7.0,37.0,89.0,24.0,0.0,5.0,100.0,0.0,73.0,305.0,0.0,0.0,1.0,3.0,104.0,4.0,7.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,2.68,0.0,0.0,6.0,1.0,0.0,2.0,10.0,1.0,50.0,N/a,N/a,N/a,N/a
Anthony Elanga,"2024-2025 Nottingham Forest Stats
(Premier League)",se SWE,FW,22,32.0,25.0,2007.0,6.0,8.0,1.0,0.0,3.9,4.3,79.0,47.0,162.0,0.27,0.36,0.18,0.19,45.7,0.72,0.17,16.8,418.0,65.2,6008.0,84.1,63.4,33.7,39.0,41.0,22.0,6.0,47.0,886.0,29.0,124.0,254.0,524.0,86.0,16.0,31.0,45.1,462.0,3604.0,79.0,36.0,64.0,34.0,583.0,162.0,17.0,12.0,32.0,9.0,1.0,8.0,5.0,81.0,3.64,13.0,0.58,6.0,32.0,12.0,140.0,77.0,21.0,39.6,N/a,N/a,N/a,N/a
Anthony Gordon,"2024-2025 Newcastle United Stats
(Premier League)",eng ENG,FW,24,27.0,25.0,2121.0,6.0,5.0,2.0,0.0,7.8,4.9,104.0,88.0,188.0,0.25,0.21,0.33,0.21,28.8,0.64,0.1,16.2,618.0,72.1,9497.0,85.4,77.0,41.1,49.0,52.0,49.0,16.0,88.0,1109.0,16.0,110.0,416.0,601.0,122.0,33.0,37.6,45.2,712.0,5234.0,104.0,54.0,28.0,34.0,793.0,188.0,30.0,17.0,7.0,24.0,2.0,22.0,6.0,96.0,4.08,12.0,0.51,19.0,58.0,7.0,116.0,89.0,5.0,41.7,N/a,N/a,N/a,N/a
Antoine Semenyo,"2024-2025 Bournemouth Stats
(Premier League)",gh GHA,FW,25,30.0,30.0,2645.0,7.0,4.0,9.0,0.0,8.9,5.2,124.0,93.0,242.0,0.24,0.14,0.3,0.18,31.3,1.19,0.06,17.2,659.0,72.8,9379.0,84.8,74.9,38.4,40.0,61.0,39.0,7.0,93.0,1361.0,36.0,162.0,472.0,759.0,169.0,40.0,51.7,42.2,817.0,6173.0,124.0,62.0,72.0,63.0,948.0,242.0,50.0,32.0,66.0,54.0,7.0,47.0,7.0,112.0,3.81,11.0,0.37,62.0,32.0,14.0,50.0,134.0,56.0,45.9,N/a,N/a,N/a,N/a
Antonee Robinson,"2024-2025 Fulham Stats
(Premier League)",us USA,DF,27,31.0,30.0,2719.0,0.0,10.0,7.0,0.0,0.7,4.0,106.0,112.0,238.0,0.0,0.33,0.02,0.13,12.5,0.07,0.0,22.1,1395.0,76.7,23848.0,86.8,79.4,55.9,40.0,55.0,50.0,26.0,112.0,2196.0,112.0,688.0,849.0,691.0,58.0,82.0,45.1,39.4,1170.0,6454.0,106.0,26.0,38.0,16.0,1317.0,238.0,82.0,54.0,23.0,34.0,5.0,29.0,53.0,73.0,2.42,11.0,0.36,28.0,17.0,5.0,146.0,131.0,42.0,64.6,N/a,N/a,N/a,N/a
Antony,"2024-2025 Manchester United Stats
(Premier League)",br BRA,"DF,MF",25,8.0,0.0,141.0,0.0,0.0,0.0,0.0,1.0,0.1,5.0,6.0,7.0,0.0,0.0,0.65,0.08,50.0,1.91,0.0,15.8,56.0,81.2,688.0,88.2,64.3,100.0,3.0,6.0,5.0,2.0,6.0,101.0,2.0,22.0,26.0,54.0,8.0,5.0,36.4,54.5,60.0,317.0,5.0,1.0,5.0,1.0,69.0,7.0,6.0,3.0,1.0,2.0,0.0,2.0,2.0,8.0,5.11,0.0,0.0,2.0,5.0,0.0,5.0,11.0,0.0,0.0,N/a,N/a,N/a,N/a
Antonín Kinský,"2024-2025 Tottenham Hotspur Stats
(Premier League)",cz CZE,GK,22,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.02,N/a,0.0,N/a,N/a,116.0,80.0,2699.0,100.0,96.1,47.9,1.0,0.0,0.0,0.0,1.0,156.0,134.0,154.0,2.0,0.0,0.0,1.0,N/a,N/a,97.0,444.0,1.0,0.0,0.0,0.0,98.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,100.0,1.75,56.3,25.0,N/a
Archie Gray,"2024-2025 Tottenham Hotspur Stats
(Premier League)",eng ENG,"DF,MF",19,23.0,14.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,31.0,15.0,0.0,0.0,0.0,0.01,100.0,0.07,0.0,24.6,900.0,88.8,15780.0,92.5,93.0,61.4,2.0,5.0,0.0,0.0,31.0,1117.0,133.0,542.0,507.0,78.0,2.0,16.0,44.4,44.4,788.0,3612.0,5.0,0.0,7.0,10.0,849.0,15.0,12.0,6.0,8.0,19.0,10.0,9.0,10.0,5.0,0.33,0.0,0.0,9.0,11.0,0.0,12.0,56.0,9.0,52.9,N/a,N/a,N/a,N/a
Arijanet Muric,"2024-2025 Ipswich Town Stats
(Premier League)",xk KVX,GK,26,18.0,18.0,1620.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,454.0,71.7,11705.0,100.0,97.3,40.6,0.0,0.0,0.0,0.0,1.0,689.0,559.0,672.0,18.0,0.0,0.0,2.0,N/a,N/a,405.0,2088.0,0.0,0.0,3.0,1.0,321.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,4.0,0.0,0.0,26.0,11.0,91.7,1.83,70.0,5.6,0.0
Armando Broja,"2024-2025 Everton Stats
(Premier League)",al ALB,FW,23,9.0,3.0,272.0,0.0,0.0,1.0,0.0,0.1,0.2,12.0,2.0,25.0,0.0,0.0,0.04,0.06,0.0,0.0,0.0,17.3,49.0,79.0,542.0,82.9,80.0,66.7,4.0,8.0,0.0,0.0,2.0,108.0,4.0,12.0,33.0,69.0,18.0,0.0,50.0,43.8,57.0,564.0,12.0,3.0,11.0,12.0,79.0,25.0,2.0,1.0,16.0,3.0,0.0,3.0,0.0,7.0,2.32,0.0,0.0,5.0,4.0,3.0,1.0,7.0,13.0,44.8,N/a,N/a,N/a,N/a
